QKEY,INTERVIEW_START_W116,INTERVIEW_END_W116,DEVICE_TYPE_W116,LANG_W116,FORM_W116,XCITIZEN_W116,XW78NONRESP_W116,XW91NONRESP_W116,SATIS_W116,POL1JB_W116,POL1JBSTR_W116,INSTN_CHR_W116,INSTN_CLGS_W116,INSTN_K12_W116,INSTN_LBRUN_W116,INSTN_TECHCMP_W116,INSTN_SMBUS_W116,INSTN_BNKS_W116,INSTN_MIL_W116,INSTN_LGECRP_W116,MIDCMPGN_W116,MATTERSCONG_W116,CONG_W116,CONGA_W116,PLAN1_W116,HOWPLANVOTE_W116,HOWVOTED_W116,PLANABSENT_W116,FIRSTVOTE22_W116,POL10_W116,REPCONGEX_W116,DEMCONGEX_W116,ISSUECONG_ABTN_W116,ISSUECONG_ECON_W116,ISSUECONG_IMM_W116,ISSUECONG_HEALTH_W116,ISSUECONG_RCE_W116,ISSUECONG_TINVEST2_W116,ISSUECONG_EDUC_W116,ISSUECONG_ENG_W116,ISSUECONG_BINVEST1_W116,ISSUECONG_GUN_W116,ISSUECONG_SCOTUS_W116,ISSUECONG_GOV_W116,ISSUECONG_DEMO_W116,ISSUECONG_CLIM_W116,ISSUECONG_BINVEST2_W116,ISSUECONG_FP_W116,ISSUECONG_COV_W116,ISSUECONG_CRIM_W116,ISSUECONG_VTPOL_W116,ISSUECONG_TINVEST1_W116,DRLEAD_W116,WOMENOBS_W116,OPENIDEN_W116,GOODEVIL_W116,POORASSIST_W116,SUPERPWR_W116,WHADVANT_W116,THERMTRUMP_W116,THERMTRUMP_REFUSED_W116,THERMBIDEN_W116,THERMBIDEN_REFUSED_W116,VTADMIN_COM_W116,VTADMIN_US_W116,VOTETRAITS_a_W116,VOTETRAITS_b_W116,VOTETRAITS_c_W116,VOTETRAITS_d_W116,VTCOUNT_INP_W116,VTCOUNT_ABS_W116,VTEASY_W116,CONCEDECONG_W116,ECON1_W116,ECON1B_W116,PERSFNC_W116,PERSFNCB_W116,ECONCONC_PRICE_W116,ECONCONC_UNEM_W116,ECONCONC_LAB_W116,ECONCONC_ENG2_W116,ECONCONC_SHTG_W116,ECONCONC_REAL_W116,ECONCONC_STCK_W116,ALLIES_W116,ISLMVIOL_W116,REGULATE_W116,WAGEGAP_a_W116,WAGEGAP_b_W116,WAGEGAP_c_W116,VTPPL1_W116,VTPPL2_SUM_W116,ELRULE_FAIR_W116,ELRULE_EASE_W116,ELRULE_PTY_W116,CANDHOUKN_W116,CANDHOUSAT_W116,PREDELEC_a_W116,PREDELEC_b_W116,GAYMARR2_W116,MARIJUANA3_W116,EMPLSIT_W116,BOSS_W116,PRESSURESELF_a_W116,PRESSURESELF_b_W116,PRESSURESELF_c_W116,JAN6ATTN_W116,JAN6CMTHEAR_W116,JAN6CONFCM_W116,JAN6_DTRESP_W116,CHINA_RIGHTS_W116,CHINA_ECONCOMP_W116,CHINA_MILPOWER_W116,CHINA_TAIWAN_W116,CHINA_RUSSIA_W116,CHINA_XI_W116,VISITS2_W116,REG_W116,PLANREG_W116,VOTE_MOTIV_W116,HORSE_W116,ERNLAB_CPS_W112,F_METRO,F_CREGION,F_CDIVISION,F_USR_SELFID,F_AGECAT,F_GENDER,F_EDUCCAT,F_EDUCCAT2,F_HISP,F_HISP_ORIGIN,F_YEARSINUS_RECODE,F_RACECMB,F_RACETHNMOD,F_CITIZEN,F_BIRTHPLACE,F_MARITAL,F_RELIG,F_BORN,F_RELIGCAT1,F_ATTEND,F_PARTY_FINAL,F_PARTYLN_FINAL,F_PARTYSUM_FINAL,F_PARTYSUMIDEO_FINAL,F_VOTED2020,F_VOTEGEN2020,F_INC_SDT1,F_IDEO,F_INTFREQ,F_VOLSUM,F_INC_TIER2,WEIGHT_W116
201801054487,10/12/2022 10:33:53,10/12/2022 11:19:06,1,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1, , ,1,1,2, ,1,3, ,3,2,1,3,2,1,1,2, , , ,1,2,4, , , , , , ,1,2,2,1,1,2,2,1,2,3,1,2,0, ,90, ,1,2,1,1,1,1,2,1, ,1,3,1,2,1,1,2,2,2,2,2,3,1,2,1,2,2,1,1, , ,3,3,3,2,2,2,3,1,5, , , , ,2,1,2,1,2,3,1,3,1,3,1,1, ,2,2,2,1,2,3,2,4,1,1,6,2, ,1,2,2,1,1,1,1,1,1,2,2, ,2,3,1,2,9,3,3,2,2,0.13405280830454036
201801054672,10/14/2022 09:41:22,10/14/2022 09:53:38,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2, , ,1,1,2, ,2, ,3, ,2,1,5,2,1,1,3, , , ,2,2,4, , , , , , ,1,2,2,1,1,2,2,1,1,1,1,1,0, ,70, ,1,1,1,1,1,1,1,1, ,1,3,3,2,3,1,3,2,1,2,1,2,1,2,1,2,2,1,1, , ,3,3,2,2,2,1,1,1,1,1,3,2,3,3,1,1,1,2,2,2,2,1,2,1,1, ,1,2,2,1,2,3,2,2,1,3,2,2, ,1,1,1,1,1,1,9, ,3,6,2, ,2,4,1,2,9,4,2,2,3,0.8435496577181297
201801054864,10/13/2022 14:59:43,10/13/2022 16:15:45,1,1,2,1,2,2,2,1,2,1,1,2,1, , , ,1,2,3,1,2, ,1,2, , ,2,1,4,3,2,1,3,1,3,1, , , ,2,1,3,1,2,4, , , , , ,2,2,1,1,2,1,1,0, ,75, ,1,1, , , , , , ,1,1,3,1,2,3,1,2,3,1,1,2,1,2,1,1,1,2,1, ,2,1, , ,4,3,2,2,4,1,1,3,1,1,1,2,2,1,1,2,2,2,1,1,2,2,1, ,4,2,2,1,2,3,1,2,1,1,5,2, ,1,2,2,1,1,2,1,1,1,5,2, ,2,4,1,2,9,4,2,2,3,0.24993456224312086
201801054931,10/11/2022 21:26:51,10/11/2022 21:42:08,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2, , ,2,1,1, ,1,2, , ,2,2,2,4,1,1,1, , , ,1,2,3, , , , , , ,2,2,1,2,3,1,2,2,2,1,1,1,50, ,50, ,2,2,1,1,2,1,2,2, ,1,3,2,3,3,1,2,2,1,1,1,3,1,1,2,1,1,1,2, , ,3,2,3,3,1,1,3,2,3, , , , ,1,2,2,2,2,1,1,3,1,2,2,3,1,3, ,2,1,2,4,2,2,2,2,4,2, ,1,3,5,1,1,1,1,2,1,3,1, ,1,1,1,2,9,2,4,2,2,0.901777285366215
201801054987,10/13/2022 07:46:47,10/13/2022 07:53:51,2,1,2,1,2,2,2,2,1,2,1,1,1, , , ,2,2,2,1,2, ,1,2, , ,2,3,2,5,1,1,1,1,1,4, , , ,1,1,1,1,1,4, , , , , ,3,2,1,2,1,2,2,0, ,5, ,1,3, , , , , , ,1,1,4,2,3,1,1,1,3,2,2,1,3,1,2,1,3,2,1, ,1,1, , ,1,1,1,2,1,1,2,3,3,3,3,1,2,2,2,3,4,4,4,4,4,2,1, ,2,2,2,1,2,4,1,1,1,1,5,2, ,1,2,2,1,1,6,10, ,3,6,4,2,2,4,2, ,3,5,1,1,1,0.5945170462451718
201801055010,10/11/2022 15:53:29,10/11/2022 16:01:23,2,1,1,1,2,2,2,2,2,1,2,1,1,2,1,2, , ,2,2,2, ,1,1, , ,2,3,4,4,1,1,1, , , ,1,1,4, , , , , , ,3,3,3,2,3,3,1,1,2,1,1,2,0, ,50, ,3,3,1,2,2,2,2,2, ,1,3,2,2,2,1,2,3,1,1,1,2,1,1,1,1,2,2,2, , ,3,3,3,2,1,2,3,1,2,1,2,4,1,3,2,3,2,1,2,2,1,1,2,1,2,1,4, ,2,1,2,4,1,2,2,1,5,2, ,1,1,1,1,1,1,2,2,2,4,2, ,2,4,1,2,7,4,1,2,2,0.7360925738068853
201801055015,10/11/2022 18:15:47,10/13/2022 19:32:37,2,1,2,1,2,2,2,1,2,1,1,1,2, , , ,1,2,3,1,2, ,1,4, , ,2,3,2,2,1,2,3,1,1,2, , , ,1,1,1,1,2,4, , , , , ,2,2,1,2,3,1,1,0, ,76, ,1,1, , , , , , ,1,2,3,3,2,1,2,3,3,2,2,3,2,2,2,1,3,2,1, ,1,1, , ,3,2,2,2,1,1,1,1,3,1,1,2,2,2,3,3,2,3,2,2,3,2,1, ,1,2,2,1,2,4,2,2,2,1,5,2, ,1,2,2,1,1,1,1,2,1,5,2, ,2,4,1,2,9,4,1,1,3,0.856789288076189
201801055279,10/12/2022 09:30:41,10/12/2022 10:12:44,2,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1, , ,1,1,2, ,1,3, ,1,2,3,3,3,1,1,1, , , ,2,3,4, , , , , , ,1,1,1,1,4,1,2,1,2,3,2,1,55, ,45, ,2,2,1,1,1,1,2,1, ,3,3,3,2,3,1,1,2,1,2,1,3,1,1,1,2,1,2,1, , ,3,2,3,3,1,2,2,2,1,2,2,1,2,3,1,2,3,2,1,2,3,2,2,2,1, ,1,2,1,1,2,3,2,3,1,1,5,2, ,1,2,2,1,1,6,1,2,1,2,2, ,2,3,1,1,7,3,2,1,2,0.12194815562456636
201801055579,10/11/2022 18:32:04,10/11/2022 18:55:06,2,1,2,1,1,2,2,2,1,2,2,1,1, , , ,2,2,2,4,4,4,1,1, , ,2,3,4,4,2,1,2,2,1,2, , , ,1,1,2,2,1,4, , , , , ,3,1,1,1,3,1,1,0, ,25, ,1,2, , , , , , ,3,1,3,2,1,1,1,3,3,2,2,2,1,1,2,1,1,2,2, ,2,1, , ,3,3,1,1,2,1,1,3,1,4,1,2,2,3,1,2,1,1,2,2,2,1,1, ,4,4,2,1,2,3,1,2,1,1,6,2, ,1,2,2,1,1,1,12, ,3,6,3,2,2,3,1,2,9,3,1,2,3,0.1367101947255761
201801055721,10/11/2022 16:38:15,10/11/2022 16:57:21,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2, , ,3,4,4,1,1,1, , ,2,2,4,4,1,2,1, , , ,3,2,1, , , , , , ,2,2,2,2,4,3,1,2,1,2,1,4,5, ,0, ,2,2,1,1,2,2,2,4, ,2,3,3,3,3,1,2,4,1,2,2,2,2,1,2,2,2,3,1, , ,3,3,4,4,99,99,4,2,5, , , , ,1,2,3,2,1,1,1,1,1,1,1,1, ,5,1,2,1,2,3,3,4,2,3,2,2, ,1,1,1,1,1,1,2,2,2,5,1, ,1,2,1,1,99,3,2,2,99,0.6858112340923924
201801056052,10/15/2022 02:52:18,10/15/2022 03:15:08,2,1,2,1,2,2,1,1,1,1,1,1,1, , , ,1,2,2,1,2, ,1,2, , ,2,1,1,4,1,3,2,1,2,3, , , ,2,3,4,1,4,4, , , , , ,2,2,1,2,1,2,2,0, ,90, ,1,1, , , , , , ,2,1,2,3,2,3,1,4,2,1,2,2,4,1,2,1,3,2,1, ,1,2, , ,2,2,1,2,4,2,5, , , , ,3,99,2,1,3,4,4,2,4,4,2,1, ,1,2,2,1,2,4,2,4,1,2,3,2, ,1,2,2,1,1,5,2,2,2,2,2, ,2,4,1,2,4,4,2,2,2,0.2567613003810598
201801056118,10/11/2022 19:34:36,10/11/2022 21:23:07,2,1,1,1,2,2,2,2,2,1,1,1,2,2,1,2, , ,2,1,4,4,1,4, , ,2,3,5,4,2,1,2, , , ,1,2,4, , , , , , ,1,1,1,1,1,3,2,1,1,1,1,1,0, ,50, ,2,3,1,2,1,1,3,2, ,1,4,1,3,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2, , ,2,1,3,3,2,2,3,2,1,3,2,2,2,3,2,3,1,1,1,1,1,1,1,1,1, ,3,4,2,1,2,4,2,3,1,1,5,2, ,1,2,2,1,1,1,1,1,1,1,2, ,2,3,1,2,8,3,1,1,2,0.24683595761434213
201801056183,10/11/2022 15:40:37,10/11/2022 15:50:04,2,1,2,1,2,2,2,1,2,1,1,1,1, , , ,2,2,2,2,2, ,1,1, , ,2,3,3,3,3,2,3,1,1,2, , , ,1,1,2,1,1,3, , , , , ,2,2,1,1,1,2,1,10, ,70, ,1,2, , , , , , ,2,1,3,2,2,3,2,3,2,2,2,2,3,1,2,1,2,1,1, ,2,1, , ,3,3,1,2,1,1,1,3,2,2,3,3,2,2,1,1,2,1,2,1,3,1,1, ,2,2,2,1,2,4,1,1,2,1,6,2, ,1,1,1,1,1,1,1,1,1,2,2, ,2,3,1,2,8,3,1,1,2,1.0031393135432896
201801056246,10/11/2022 16:52:48,10/11/2022 17:08:05,2,1,2,1,2,2,2,2,1,1,2,2,2, , , ,1,2,1,1,1, ,1,3, ,3,2,2,1,5,4,1,1,2,4,4, , , ,1,2,1,1,4,1, , , , , ,1,1,1,1,3,1,3,50, ,0, ,2,2, , , , , , ,1,4,4,2,4,2,1,4,2,1,1,1,2,2,1,2,3,3,1, ,2,1, , ,2,2,1,1,3,1,2,2,1,1,1,1,1,4,3,1,1,1,1,1,4,2,1, ,2,1,2,1,2,4,2,3,1,3,2,2, ,1,1,1,1,1,1,12, ,3,6,1, ,1,1,1,1,5,2,1,2,2,1.6177903997675671
201801056358,10/12/2022 00:13:39,10/12/2022 00:38:50,2,1,2,1,2,2,1,1,1,1,1,2,1, , , ,1,1,2,1,2, ,1,1, , ,2,1,5,3,1,2,1,2,1,1, , , ,3,1,3,1,2,3, , , , , ,2,2,1,1,1,2,1,0, ,85, ,2,2, , , , , , ,2,1,3,1,3,1,1,2,2,2,2,2,2,1,2,1,2,1,2, ,2,1, , ,2,3,2,2,3,2,1,2,1,3,2,2,1,1,1,1,2,2,1,1,1,1,1, ,2,2,2,1,2,4,1,3,1,1,6,2, ,1,2,2,1,1,1,1,1,1,2,3,2,2,9,1,2,4,99,2,1,2,0.3031958305217009
201801057086,10/11/2022 20:51:43,10/11/2022 21:09:46,2,1,2,1,2,2,1,1,2,1,2,2,1, , , ,1,2,3,3,2, ,1,2, , ,2,3,3,3,3,1,3,1,1,3, , , ,1,1,2,1,2,4, , , , , ,2,2,1,2,1,1,2,10, ,75, ,2,3, , , , , , ,3,1,3,2,3,3,1,2,2,1,1,1,2,1,2,1,3,3,1, ,3,1, , ,2,3,1,2,2,1,1,2,2,1,1,1,2,4,1,3,2,1,1,2,2,2,1, ,3,2,2,1,3,7,2,2,2,2,3,2, ,1,2,2,1,1,1,1,1,1,3,2, ,2,3,1,2,9,3,1,1,3,1.065248616446133
201801057572,10/14/2022 06:59:03,10/14/2022 10:23:33,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1, , ,2,4,4,4,1,4, , ,2,1,4,3,2,1,2, , , ,1,2,2, , , , , , ,1,1,1,1,2,3,1,2,1,1,2,1,0, ,85, ,2,2,1,1,1,1,2,1, ,2,2,2,4,3,1,1,1,3,1,1,1,2,2,99,1,1,1,1, , ,1,99,4,2,2,2,2,3,1,3,3,3,3,1,2,2,2,2,2,2,2,2,2,1,1, ,1,4,2,1,3,7,1,2,2,1,6,2, ,1,2,2,1,1,6,1,1,1,3,2, ,2,3,1,2,2,3,2,2,1,0.9721596852671539
201801057582,10/14/2022 15:47:29,10/14/2022 16:16:11,1,1,1,1,2,2,2,1,1,1,1,2,2,1,2,1, , ,2,1,2, ,1,1, , ,2,1,5,1,2,1,2, , , ,2,1,4, , , , , , ,2,1,1,1,1,2,1,1,1,1,2,1,0, ,100, ,1,1,1,1,1,1,1,1, ,1,3,1,2,1,1,3,3,1,1,3,1,2,2,1,2,3,2,1, , ,3,3,3,2,2,2,2,1,5, , , , ,2,2,1,1,2,1,1,2,1,1,2,1, ,1,2,2,1,3,7,2,4,1,1,5,2, ,1,2,2,1,1,3,1,2,1,6,2, ,2,4,1,2,1,5,2,2,1,0.07686418050093134
201801057894,10/11/2022 17:09:20,10/11/2022 17:16:24,2,1,2,2,2,2,2,2,2,1,1,1,1, , , ,1,1,1,2, , , , , , , , ,2,3, , , , , , , , , , , , , , , , , , , , ,2,2,1,1,3,1,2,0, ,50, ,1,1, , , , , , , ,1,3,2,3,3,1,2,3,1,3,1,2,1,1,1,3,1,3, ,1,2, , ,3,2,2,2,2,1,1,2,1,2,2,3,1,2,1,2,1,1,2,2,3,1, , , , ,2,1,3,7,2,2,1,1,5,2, ,2,3,5,2,4,1,8, ,4,3,3,2,2,3, , ,8,3,1,2,2,1.0236285224289026
201801057956,10/13/2022 06:45:56,10/13/2022 13:59:29,2,1,1,1,2,2,2,1,2,1,1,1,2,1,1,1, , ,4,3,2, ,1,2, , ,2,1,4,2,3,1,2, , , ,1,2,3, , , , , , ,4,3,2,2,1,2,2,2,2,1,1,1,0, ,50, ,1,2,1,1,2,1,1,3, ,2,3,3,3,1,1,2,2,1,3,1,4,2,2,2,2,1,1,1, , ,3,1,4,3,2,1,3,1,1,3,1,2,1,3,3,3,1,2,2,2,2,2,3,2,2,1,2, ,2,2,3,7,2,2,2,2,3,2, ,1,2,2,1,1,2,1,2,1,6,2, ,2,3,1,2,1,3,1,2,1,1.2651544835301805
201801058144,10/12/2022 17:56:34,10/12/2022 18:29:50,2,1,1,1,2,2,99,2,1,1,1,1,1,1,1,1, , ,4,1,1, ,99, , , , ,2,1,4,1,1,1, , , ,1,1,1, , , , , , ,3,1,1,1,3,1,1,2,1,3,99,2,100, ,50, ,2,2,1,1,1,1,2,2, ,1,3,1,3,1,2,2,1,2,2,1,2,2,1,1,2,1,3,2, , ,3,3,4,99,1,1,4,2,4, , , , ,3,3,99,3,99,2,2,2,2,99,99,99,99, , ,2,1,3,7,1,2,2,1,5,2, ,1,2,2,1,1,1,1,1,1,2,1, ,1,1,1,1,4,2,2,2,2,0.7930002572161168
201801058202,10/11/2022 17:52:52,10/11/2022 18:11:01,2,1,2,1,2,2,2,2,1,1,2,2,2, , , ,1,2,1,1,1, ,1,1, , ,2,2,3,5,2,1,1,4,4,4, , , ,4,1,1,4,4,1, , , , , ,1,1,2,2,2,1,4,50, ,1, ,1,2, , , , , , ,1,1,4,3,3,3,1,3,1,1,1,1,1,2,1,2,1,1,3, ,2,1, , ,2,2,1,1,2,3,1,2,1,1,1,1,2,4,3,1,1,1,1,1,1,1,1, ,1,1,2,1,3,7,1,2,1,1,5,2, ,1,1,1,1,1,1,1,1,1,2,1, ,1,1,1,1,9,1,2,1,3,0.847826537538984
201801058449,10/14/2022 20:17:20,10/14/2022 20:24:02,2,1,1,1,2,1,2,2,1,1,1,1,2,1,1,1, , ,2,1,1, ,1,1, , ,2,2,3,4,1,1,3, , , ,2,3,4, , , , , , ,3,4,2,4,4,3,2,2,1,2,2,2,60, ,10, ,1,2,1,2,1,1,1,2, ,1,3,3,1,3,1,4,3,1,2,2,1,1,1,2,3,1,2,1, , ,3,3,2,2,1,2,4,2,1,2,2,1,1,1,2,2,2,2,1,2,2,1,3,2,1, ,3,1,2,1,3,7,2,2,2,1,6,2, ,1,1,1,1,1,1,1,1,1,2,1, ,1,1,1,1,9,1,1,1,3,0.9976691667018166
201801058477,10/11/2022 15:39:02,10/11/2022 16:06:04,1,1,2,1,2,2,2,1,2,2,1,99,1, , , ,1,2,1,1,2, ,1,3, ,3,2,3,5,2,1,1,2,1,1,3, , , ,1,2,3,1,2,3, , , , , ,2,2,1,1,1,1,1,0, ,85, ,2,2, , , , , , ,3,1,2,3,2,2,1,2,2,1,2,1,99,1,2,1,3,2,1, ,2,1, , ,2,2,2,2,2,1,5, , , , ,3,1,1,1,2,2,1,1,2,99,1,1, ,1,2,2,1,3,7,2,4,1,2,3,2, ,1,2,2,1,1,1,9, ,3,5,2, ,2,4,1,2,2,4,2,2,1,0.3962120212783155
201801058496,10/13/2022 13:11:26,10/13/2022 13:41:46,2,1,1,2,2,2,1,2,1,1,1,1,1,1,2,2, , ,2,2, , , , , , , , ,3,4, , , , , , , , , , , , , , , , , , , , ,2,2,1,2,2,1,3,40, ,50, ,1,1,1,1,1,1,1,1, ,1,4,2,2,2,1,1,3,1,3,1,2,1,1,1,3,1,2,1, , ,3,3,1,2,1,1,4,2,1,2,3,1,3,1,2,1,2,4,1,1,4,1,1,1, , , , ,2,1,3,7,2,2,1,1,6,2, ,2,3,5,2,4,1,8, ,4,3,3,1,1,2, , ,5,3,1,2,2,1.0038831238397035
201801058996,10/14/2022 02:11:42,10/14/2022 02:16:15,2,1,1,1,2,2,2,2,1,2,2,2,2,1,1,2, , ,1,1,1, ,2, ,1, ,2,2,1,5,1,1,1, , , ,2,1,1, , , , , , ,1,3,2,1,4,1,1,1,1,1,1,3,100, ,0, ,2,2,1,1,1,1,1,4, ,2,99,2,4,2,2,4,2,1,2,1,3,1,2,1,1,1,2,3, , ,3,2,2,2,1,1,3,2,1,3,5,3,4,2,2,1,3,3,2,2,2,3,3,2,2,1,1, ,2,1,3,7,2,2,2,2,3,2, ,1,1,1,1,1,4,11, ,4,6,1, ,1,2,1,1,1,3,1,2,1,0.9689249485527348
201801059020,10/11/2022 18:44:59,10/11/2022 18:51:48,2,1,2,1,2,2,1,2,1,2,1,1,2, , , ,2,1,2,2,3, ,1,4, , ,1,2,3,4,1,1,1,1,2,4, , , ,1,1,1,1,1,1, , , , , ,1,1,1,2,3,2,2,100, ,0, ,1,1, , , , , , ,1,1,2,1,2,1,2,2,2,1,1,2,2,2,2,1,1,2,1, ,1,1, , ,2,2,1,1,3,1,3, , , , ,1,2,2,3,2,2,2,2,2,2,1,2,1,3, ,2,1,3,7,2,2,2,3,2,1,1,1,1,3,1,1,1,2,2,2,5,1, ,1,1,2, ,7,2,2,2,2,1.0748525184369921
201801059126,10/12/2022 10:48:02,10/12/2022 11:15:48,2,1,2,1,2,2,1,1,1,1,1,1,1, , , ,99,2,1,1,2, ,1,1, , ,2,1,5,3,1,1,1,1,1,1, , , ,1,1,2,1,2,4, , , , , ,2,2,1,1,1,99,1,0, ,100, ,2,2, , , , , , ,3,1,2,1,2,3,1,2,2,1,1,1,2,1,2,1,3,2,1, ,2,2, , ,3,1,2,2,2,2,5, , , , ,3,1,1,1,99,2,2,99,1,2,2,1, ,1,2,1,1,3,7,1,4,2,1,5,2, ,1,2,2,1,1,1,1,1,1,2,2, ,2,4,1,2,6,4,2,1,2,0.8505277695691685
201801059293,10/12/2022 22:28:00,10/12/2022 22:41:32,1,1,1,1,2,2,2,1,1,2,1,2,1,1,2,1, , ,1,1,2, ,3, , , , ,3,5,3,1,1,2, , , ,2,1,3, , , , , , ,2,2,2,1,1,2,2,1,2,1,1,2,0, ,80, ,2,2,1,2,1,1,2,2, ,1,3,1,2,3,1,2,1,1,2,2,1,1,2,1,1,1,1,2, , ,2,1,2,3,2,2,1,1,5, , , , ,2,1,1,1,1,1,1,1,1,2,2,3,1,4, ,2,1,3,7,2,4,2,1,6,2, ,1,1,1,1,1,5,1,2,1,5,2, ,2,4,1,2,8,4,2,1,3,0.8639735258978142
201801059332,10/11/2022 15:36:39,10/11/2022 15:55:38,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2, , ,4,4,4,4,3, , , , ,3,3,3,2,2,2, , , ,2,2,2, , , , , , ,2,2,2,2,2,3,1,2,1,3,1,1,50, ,50, ,2,2,1,1,2,2,2,2, ,2,4,2,3,2,1,2,3,1,2,2,3,1,1,1,3,2,1,2, , ,3,3,4,4,1,1,4,2,3, , , , ,3,3,4,2,2,2,2,3,2,2,2,3,2, , ,2,1,3,7,1,2,2,3,2,2, ,1,1,1,1,1,1,1,1,1,2,4,2,2,3,2, ,3,3,2,2,1,1.0303737729741733
201801059412,10/11/2022 15:29:20,10/11/2022 15:49:49,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1, , ,2,1,2, ,1,3, ,2,2,1,3,3,1,1,2, , , ,1,1,4, , , , , , ,1,2,1,2,1,2,2,1,2,1,1,1,50, ,90, ,1,1,1,1,1,1,1,1, ,1,3,1,1,3,1,2,2,1,2,1,2,1,1,1,1,1,1,1, , ,1,3,4,2,2,2,2,1,1,3,5,4,2,3,2,1,1,2,1,1,2,1,2,2,1, ,2,2,2,1,4,8,1,3,2,2,3,2, ,1,1,1,1,1,3,5, ,4,5,2, ,2,4,1,2,1,4,2,2,1,0.8067768191371961
201801059544,10/11/2022 18:49:52,10/11/2022 19:09:48,1,1,2,1,2,2,2,2,1,2,2,2,2, , , ,1,2,1,1,1, ,1,3, ,3,2,2,1,5,2,1,1,2,2,4, , , ,1,1,1,1,4,1, , , , , ,1,1,2,1,2,1,2,100, ,0, ,2,2, , , , , , ,2,2,4,3,2,3,1,3,2,1,3,2,1,1,1,2,3,3,3, ,2,1, , ,1,1,1,1,3,1,5, , , , ,2,1,4,3,1,1,1,1,1,2,1,1, ,1,1,2,1,4,8,2,3,2,1,5,2, ,1,2,2,1,1,1,1,2,1,2,1, ,1,1,1,1,99,2,1,2,99,1.0906417687060714
201801059595,10/11/2022 15:32:55,10/12/2022 16:31:52,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1, , ,3,2,4,1,3, , , , ,2,3,4,2,1,1, , , ,1,2,2, , , , , , ,2,4,1,1,3,1,2,2,1,2,1,3,50, ,10, ,2,2,1,1,2,2,2,3, ,1,3,3,2,1,1,2,2,1,3,2,1,1,1,1,1,2,2,2, , ,3,3,3,2,1,1,1,1,1,3,2,1,1,1,3,3,2,2,2,1,2,1,2,2,1, ,4,1,2,1,4,8,2,1,2,2,4,2, ,1,1,1,1,1,1,1,2,1,4,1, ,1,1,1,1,9,2,1,2,3,1.7137049310865637
201801059624,10/11/2022 15:40:33,10/13/2022 14:46:22,2,1,2,1,2,2,2,2,1,1,1,1,1, , , ,1,1,2,2,3, ,1,2, , ,2,3,4,4,1,1,1,1,1,3, , , ,1,2,2,2,2,2, , , , , ,2,2,1,1,1,1,1,0, ,2, ,3,3, , , , , , ,3,1,4,2,2,1,1,1,1,1,1,1,2,1,1,1,3,2,1, ,2,1, , ,3,3,2,2,2,1,1,3,1,1,1,2,3,4,3,1,1,1,3,2,2,2,2,2,4, ,2,1,4,8,2,2,2,2,4,2, ,1,4,4,1,1,2,12, ,3,6,3,2,2,3,2, ,4,3,1,2,2,1.597508621263061
201801059738,10/11/2022 17:28:15,10/11/2022 17:39:08,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2, , ,2,1,3, ,1,3, ,3,2,2,2,5,4,1,1, , , ,2,1,1, , , , , , ,3,1,1,2,4,1,2,2,1,2,1,1,75, ,0, ,2,3,1,1,2,1,3,3, ,4,3,3,3,2,3,1,4,3,3,3,2,1,1,2,3,3,3,3, , ,1,2,3,2,1,1,1,1,1,1,5,4,2,1,1,3,2,3,3,3,3,4,3,2,1, ,3,3,2,1,4,9,1,2,2,2,4,2, ,1,4,4,1,1,1,1,1,1,5,1, ,1,1,1,1,4,2,2,2,2,0.5086378394824942
201801059766,10/12/2022 01:09:03,10/12/2022 02:47:13,2,1,2,1,2,2,1,1,2,1,1,1,2, , , ,1,2,1,1,2, ,1,3, ,3,2,3,4,4,1,1,2,1,1,3, , , ,1,1,4,1,1,4, , , , , ,2,2,1,1,3,2,1,0, ,45, ,1,2, , , , , , ,1,1,4,3,2,3,1,3,2,1,2,1,1,1,2,1,1,2,1, ,1,1, , ,3,3,2,1,1,1,5, , , , ,3,1,2,1,3,1,1,2,1,3,1,1, ,3,2,2,1,4,9,1,4,2,1,6,2, ,1,2,2,1,1,1,1,2,1,5,2, ,2,4,1,2,9,4,2,1,3,0.7845943985062168
201801060084,10/12/2022 12:40:22,10/12/2022 12:48:27,2,1,2,1,2,2,1,1,1,2,1,1,1, , , ,2,2,2,2,1, ,1,3, ,1,2,1,4,3,1,2,1,1,1,3, , , ,1,1,2,1,1,4, , , , , ,2,2,1,2,1,1,1,0, ,80, ,1,2, , , , , , ,1,1,2,1,1,3,1,1,1,1,2,1,2,1,2,1,3,2,1, ,1,1, , ,2,1,2,2,1,1,3, , , , ,2,1,1,1,2,2,2,1,1,2,1,1, ,2,2,2,1,4,9,2,3,2,1,5,2, ,1,3,5,1,1,1,12, ,3,5,2, ,2,4,1,2,9,4,2,1,3,0.23383290182184965
